snapshot_url,snapshot_date,open_runs,open_lifts,base_snow,Season Yrs,Season,Opening Date,Closing Date,Date in Season,Days since open,Open Runs Cleaned,Open Lifts Cleaned,Open Runs %,Open Lifts %,ENSO
https://web.archive.org/web/20241120202438/https://www.arapahoebasin.com/snow-report/,2024-11-20,1 /147 open runs,1 /9 open lifts,18,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,29,1 /147,1 /9,0.68%,11.11%,Neutral
https://web.archive.org/web/20241122224649/https://www.arapahoebasin.com/snow-report/,2024-11-22,1 /147 open runs,1 /9 open lifts,18,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,31,1 /147,1 /9,0.68%,11.11%,Neutral
https://web.archive.org/web/20241125172555/https://www.arapahoebasin.com/snow-report/,2024-11-25,3 /147 open runs,2 /9 open lifts,21,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,34,3 /147,2 /9,2.04%,22.22%,Neutral
https://web.archive.org/web/20241127193352/https://www.arapahoebasin.com/snow-report/,2024-11-27,5 /147 open runs,2 /9 open lifts,36,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,36,5 /147,2 /9,3.40%,22.22%,Neutral
https://web.archive.org/web/20241127193925/https://www.arapahoebasin.com/snow-report/,2024-11-27,5 /147 open runs,2 /9 open lifts,36,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,36,5 /147,2 /9,3.40%,22.22%,Neutral
https://web.archive.org/web/20241127194056/https://www.arapahoebasin.com/snow-report/,2024-11-27,5 /147 open runs,2 /9 open lifts,36,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,36,5 /147,2 /9,3.40%,22.22%,Neutral
https://web.archive.org/web/20241128235250/https://www.arapahoebasin.com/snow-report/,2024-11-28,15 /147 open runs,3 /9 open lifts,35,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,37,15 /147,3 /9,10.20%,33.33%,Neutral
https://web.archive.org/web/20241208182004/https://www.arapahoebasin.com/snow-report/,2024-12-08,39 /147 open runs,4 /9 open lifts,25,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,47,39 /147,4 /9,26.53%,44.44%,Neutral
https://web.archive.org/web/20241214192936/https://www.arapahoebasin.com/snow-report/,2024-12-14,42 /147 open runs,4 /9 open lifts,27,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,53,42 /147,4 /9,28.57%,44.44%,Neutral
https://web.archive.org/web/20241217104147/https://www.arapahoebasin.com/snow-report/,2024-12-17,44 /147 open runs,4 /9 open lifts,27,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,56,44 /147,4 /9,29.93%,44.44%,Neutral
https://web.archive.org/web/20250109233708/https://www.arapahoebasin.com/snow-report/,2025-01-09,116 /147 open runs,6 /9 open lifts,45,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,79,116 /147,6 /9,78.91%,66.67%,Neutral
https://web.archive.org/web/20250118165539/https://www.arapahoebasin.com/snow-report/,2025-01-18,129 /147 open runs,9 /9 open lifts,45,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,88,129 /147,9 /9,87.76%,100.00%,Neutral
https://web.archive.org/web/20250211211826/https://www.arapahoebasin.com/snow-report/,2025-02-11,136 /147 open runs,9 /9 open lifts,48,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,112,136 /147,9 /9,92.52%,100.00%,Neutral
https://web.archive.org/web/20250215053302/http://arapahoebasin.com/snow-report,2025-02-15,136 /147 open runs,9 /9 open lifts,64,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,116,136 /147,9 /9,92.52%,100.00%,Neutral
https://web.archive.org/web/20250215054750/https://arapahoebasin.com/snow-report,2025-02-15,136 /147 open runs,9 /9 open lifts,64,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,116,136 /147,9 /9,92.52%,100.00%,Neutral
https://web.archive.org/web/20250216014951/http://www.arapahoebasin.com/snow-report,2025-02-16,136 /147 open runs,9 /9 open lifts,64,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,117,136 /147,9 /9,92.52%,100.00%,Neutral
https://web.archive.org/web/20250216031717/https://www.arapahoebasin.com/snow-report,2025-02-16,136 /147 open runs,9 /9 open lifts,64,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,117,136 /147,9 /9,92.52%,100.00%,Neutral
https://web.archive.org/web/20250217150910/https://www.arapahoebasin.com/snow-report/,2025-02-17,136 /147 open runs,9 /9 open lifts,64,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,118,136 /147,9 /9,92.52%,100.00%,Neutral
https://web.archive.org/web/20250318200901/https://www.arapahoebasin.com/snow-report/,2025-03-18,86 /147 open runs,6 /9 open lifts,63,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,147,86 /147,6 /9,58.50%,66.67%,Neutral
https://web.archive.org/web/20250407093129/https://www.arapahoebasin.com/snow-report/,2025-04-07,147 /147 open runs,9 /9 open lifts,70,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,167,147 /147,9 /9,100.00%,100.00%,Neutral
https://web.archive.org/web/20250408184453/https://www.arapahoebasin.com/snow-report/,2025-04-08,141 /147 open runs,7 /9 open lifts,66,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,168,141 /147,7 /9,95.92%,77.78%,Neutral
https://web.archive.org/web/20250415064912/https://www.arapahoebasin.com/snow-report/,2025-04-15,105 /147 open runs,9 /9 open lifts,61,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,175,105 /147,9 /9,71.43%,100.00%,Neutral
https://web.archive.org/web/20250417180356/https://www.arapahoebasin.com/snow-report/,2025-04-17,118 /147 open runs,7 /9 open lifts,57,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,177,118 /147,7 /9,80.27%,77.78%,Neutral
https://web.archive.org/web/20250517053650/https://www.arapahoebasin.com/snow-report/,2025-05-17,31 /147 open runs,4 /9 open lifts,58,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,207,31 /147,4 /9,21.09%,44.44%,Neutral
https://www.onthesnow.com/united-states/open-resorts,2022-11-27,5/147,3/9,19,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",In Season,35,5/147,3/9,3.40%,33.33%,La Niña
https://www.onthesnow.com/united-states/open-resorts,2022-12-08,5/147,3/9,32,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",In Season,46,5/147,3/9,3.40%,33.33%,La Niña
https://www.onthesnow.com/united-states/open-resorts,2023-03-23,145/147,9/9,65,2022/2023,22/23,"Oct 23, 2022","Jun 4, 2023",In Season,151,145/147,9/9,98.64%,100.00%,La Niña
https://www.onthesnow.com/united-states/open-resorts,2023-12-09,10/145,4/9,22,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,41,10/145,4/9,6.90%,44.44%,El Niño
https://www.onthesnow.com/united-states/open-resorts,2024-05-18,81/145,8/9,63,2023/2024,23/24,"Oct 29, 2023","Jun 16, 2024",In Season,202,81/145,8/9,55.86%,88.89%,El Niño
https://www.onthesnow.com/united-states/open-resorts,2025-01-17,126/145,9/9,44,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,87,126/145,9/9,86.90%,100.00%,Neutral
https://www.onthesnow.com/united-states/open-resorts,2025-01-19,129/145,9/9,45,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,89,129/145,9/9,88.97%,100.00%,Neutral
https://www.onthesnow.com/united-states/open-resorts,2025-04-23,128/147,9/9,63,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,183,128/147,9/9,87.07%,100.00%,Neutral
https://www.onthesnow.com/united-states/open-resorts,2025-05-14,29/147,4/9,51,2024/2025,24/25,"Oct 22, 2024","Jun 8, 2025",In Season,204,29/147,4/9,19.73%,44.44%,Neutral
